ID,Site,Transect_coordinates,Forest_type,Distance,NH4_conc,NO3_conc,Ammonification,Nitrification,P,pH,soil_temp,litter_depth,O_depth,soil_moisture,SOM,prop_pine_litter,prop_hw_litter,total_floor_litter,pine_floor_litter,hw_floor_litter,Broad_leaf_herbs,Grassy_herbs,Ferns,Shrubs,Vines,Moss,Leaf_litter,Bare_soil,Rock,Max_height,All_plants,AM_basal,ECM_basal,hw_basal,pine_basal,num_stems,total_basal,ECM.AM,no_pine_saplings,PO4,PO4_release,root_density,ECM_abundance,SAP_abundance,soilSAP_abundance,AM_abundance,root_endophyte_abundance,contact_expl,short_dist_expl,med_dist_expl,long_dist_expl,mat_expl,Nitrifier_abundance,Copiotroph_abundance,Oligotroph_abundance,chitinase_ECbac_abund,denitrification_ECbac_abund,PO4uptake_ECfun_abund,denitrification_ECfun_abund,NH4uptake_ECfun_abund,ECM_chitinase_ECfun,SAP_chitinase_ECfun,ECM_PO4uptake_ECfun,SAP_PO4uptake_ECfun,ECM_NH4uptake_ECfun,SAP_NH4uptake_ECfun,Oligotroph_chitinase_ECbac,fun_amm_neg_module_abundance,fun_nitr_pos_module_abundance,fun_nitr_neg_module_abundance,fun_pmin_pos_module_abundance,fun_pmin_neg_module_abundance,bac_amm_pos_module_abundance,bac_amm_neg_module_abundance,bac_nitr_pos_module_abundance,bac_nitr_neg_module_abundance,bac_pmin_pos_module_abundance,bac_pmin_neg_module_abundance,bac_richness,bac_shannon,fun_richness,fun_shannon,bac_evenness,fun_evenness,edaphic_PC1,bac_copy_number,ITS_copy_number,fun_amm_pos_module_abundance,soil_temp2022,soil_moisture2022,Copiotroph_chitinase_ECbac,Copios_denitrification_ECbac,soil_percN,soil_percC,EMF_richness,EMF_Shannon,amidine.hydro_ECbac_abund,amino.hydro_ECbac_abund,DMhydrolase_ECbac_abund,glycosidaseN_ECbac_abund,glycosidaseOS_ECbac_abund,CPhydrolase_ECbac_abund,Noxidoreductase_ECbac_abund,Poxidoreductase_ECbac_abund,amine.oxidase_ECbac_abund,peptidase_broad_ECbac_abund,phosphatase_ECbac_abund,PDhydrolase_ECbac_abund,PMhydrolase_ECbac_abund,TMhydrolase_ECbac_abund,Phydrolase_ECbac_abund,Copiotroph_amidine.hydro_ECbac,Oligotroph_amidine.hydro_ECbac,Copiotroph_amino.hydro_ECbac,Oligotroph_amino.hydro_ECbac,Copiotroph_DMhydrolase_ECbac,Oligotroph_DMhydrolase_ECbac,Copiotroph_glycosidaseN_ECbac,Oligotroph_glycosidaseN_ECbac,Copiotroph_glycosidaseOS_ECbac,Oligotroph_glycosidaseOS_ECbac,Copiotroph_Noxidoreductase_ECbac,Oligotroph_Noxidoreductase_ECbac,Copiotroph_Poxidoreductase_ECbac,Oligotroph_Poxidoreductase_ECbac,Copiotroph_amine.oxidase_ECbac,Oligotroph_amine.oxidase_ECbac,Copiotroph_peptidase_broad_ECbac,Oligotroph_peptidase_broad_ECbac,Copiotroph_phosphatase_ECbac,Oligotroph_phosphatase_ECbac,Copiotroph_PDhydrolase_ECbac,Oligotroph_PDhydrolase_ECbac,Copiotroph_PMhydrolase_ECbac,Oligotroph_PMhydrolase_ECbac,Copiotroph_TMhydrolase_ECbac,Oligotroph_TMhydrolase_ECbac,Copiotroph_Phydrolase_ECbac,Oligotroph_Phydrolase_ECbac,amidine.hydro_ECfun_abund,amino.hydro_ECfun_abund,DMhydrolase_ECfun_abund,glycosidaseN_ECfun_abund,glycosidaseOS_ECfun_abund,peptidase_broad_ECfun_abund,phosphatase_ECfun_abund,PDhydrolase_ECfun_abund,PMhydrolase_ECfun_abund,PThydrolase_ECfun_abund,TMhydrolase_ECfun_abund,Phydrolase_ECfun_abund,Noxidoreductase_ECfun_abund,Poxidoreductase_ECfun_abund,amine.oxidase_ECfun_abund,ECM_amidine.hydro_ECfun,SAP_amidine.hydro_ECfun,ECM_amino.hydro_ECfun,SAP_amino.hydro_ECfun,ECM_DMhydrolase_ECfun,SAP_DMhydrolase_ECfun,ECM_glycosidaseN_ECfun,SAP_glycosidaseN_ECfun,ECM_glycosidaseOS_ECfun,SAP_glycosidaseOS_ECfun,ECM_peptidase_broad_ECfun,SAP_peptidase_ECfun_broad,ECM_phosphatase_ECfun,SAP_phosphatase_ECfun,ECM_PDhydrolase_ECfun,SAP_PDhydrolase_ECfun,ECM_PMhydrolase_ECfun,SAP_PMhydrolase_ECfun,ECM_TMhydrolase_ECfun,SAP_TMhydrolase_ECfun,ECM_Phydrolase_ECfun,SAP_Phydrolase_ECfun,ECM_Noxidoreductase_ECfun,SAP_Noxidoreductase_ECfun,ECM_Poxidoreductase_ECfun,SAP_Poxidoreductase_ECfun,ECM_amine.oxidase_ECfun,SAP_amine.oxidase_ECfun,all_Ndecomp_ECbac_sum,all_Ndecomp_ECbac_avg,all_ECM_Ndecomp_ECfun,all_oligo_Ndecomp_ECbac
HF1E 0m A,HF1,"42.482186, -72.174273",Encroachment,0,0.017840805,0,2.972855014,0,399.6,5.35,18.3,0.3,2,0.31370869,0.078294988,0.001890359,1.049149338,0.0174,2.50E-05,0.013875,1,2,4,2,0,1,3,0,2,1.142,11,NA,NA,NA,NA,NA,NA,NA,21,0,0,1.413101539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009431336,0.307075242,0.054430292,0.19,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0.422461196,0.502244728,0.569951973,0.325555092,0.214954409,0.460012529,543,5.667358533,NA,NA,0.899993671,NA,2.654936117,78605.80153,183338.5416,NA,62,0.179741051,0.323529412,0.37037037,0.201130852,3.812575102,NA,NA,2.73,0.26,0.07,0.64,0.17,0,9.01,0.78,0.15,3.87,2.21,0.28,2.08,0.12,2.48,0.639563115,0,0.691666667,0,1,0,0.502780749,0,0.647058824,0,0.646867527,0,0.416174162,0,0.769230769,0,0.638409754,0,0.725007716,0,0.50877193,0,0.756761164,0,0.75,0,0.724120779,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.02,2.1275,NA,0
HF1E 0m B,HF1,"42.482186, -72.174273",Encroachment,0,0.013074906,0,6.709091047,0.560663106,528.9,NA,18.3,0.3,2,0.357804878,0.105013293,0.001890359,1.049149338,0.0174,2.50E-05,0.013875,2,1,4,0,0,0,3,0,0,0.552,7,NA,NA,NA,NA,NA,NA,NA,21,0.418471886,-0.013949063,1.413101539,0.345020452,0.405626513,0.33817514,0.000166959,0.005927039,0.011269722,0.305451206,0.032974372,0.000500877,0,0.005581339,0.337307004,0.064458398,0.28,0.31,0.047849467,1.793424224,0.535047244,0.130348171,0.824281873,0.002138234,0.916390831,0.481108526,0.486390048,0,0.317639202,0.46681693,0.029217798,0.588279489,0.246347775,0.453635454,0.514423514,0.578335912,0.361786028,0.228622562,0.474201474,347,5.202799017,215,4.113480498,0.889470018,0.765920264,NA,610326.5907,1498462.25,0.210034227,62,0.169701987,0.26,0.216666667,0.337880701,4.864566803,15,0.779428024,3.5,0.36,0.08,0.85,0.25,0,11.53,0.99,0.18,5.02,2.88,0.42,2.76,0.15,3.33,0.584747288,0,0.532407407,0,1,0,0.387270259,0,0.52,0,0.591918442,0,0.396625317,0,0.78125,0,0.533622862,0,0.643462346,0,0.425925926,0,0.62739287,0,0.733333333,0,0.607454456,0,25.26211777,4.202571258,0.000208623,1.934134402,0.590312281,19.71661058,15.24743055,7.620909188,37.98230135,0.000175677,0.001699422,45.60508564,51.1409197,4.256557874,0.162263901,0.416208796,0.55942322,0.254854136,0.723592934,0.03842218,0.96157782,0.527741038,0.440718805,0.002989304,0.916109411,0.451836507,0.500873024,0.585391597,0.379104269,0.487131356,0.482573354,0.532563463,0.433977521,0.029491098,0.970508902,0.524901459,0.442173018,0.333727909,0.604008513,0.446448044,0.516456093,0.153987663,0.841169336,21.97,2.74625,2.117705861,0
HF1E 15m A,HF1,"42.482186, -72.174273",Encroachment,15,0,0,37.61363762,0,922.8,NA,17.6,1,5.2,0.615438596,0.642335766,0.004524887,0.981146305,0.0358,0.00015,0.032525,2,0,2,0,0,1,5,0,0,0.213,4,116.0510099,404.3880414,520.4390512,0,9,520.4390512,3.4633451,NA,0,NA,2.82134706,0.569119329,0.334121235,0.31414411,0,0,0.18612276,0.105909264,0.277926039,0.000457491,0.000381243,0,0.248693201,0.109508906,0.54,0.43,0.065234031,2.083872506,0.291231824,0.576305323,0.416447649,0.579669546,0.397392883,0.753706002,0.237549342,0.417832168,0.401982463,0.509569196,0.376210446,0.584902783,0.407243614,0.475854949,0.491470988,0.589706196,0.386451898,0.235256526,0.487947957,360,5.20501354,116,3.484710047,0.884288404,0.733069092,NA,2803400.787,8651481.486,0.457720168,61,0.29022082,0.068376068,0.186046512,1.420804739,34.12699509,26,1.648936999,4.58,0.38,0.03,1.27,0.43,0.01,14.23,1.63,0.21,6.79,3.76,0.69,3.64,0.21,4.54,0.330199133,0.10394871,0.413172542,0.114795918,1,0,0.29392658,0.115002758,0.102564103,0.490384615,0.403618869,0.113386209,0.178220877,0.097042281,0.105263158,0,0.32285112,0.19299121,0.371439586,0.094301361,0.276556777,0.386446886,0.350274624,0.237430544,0.380952381,0.142857143,0.342948632,0.250987299,21.69358777,5.675963762,0.011345968,1.716365933,0.570477138,20.43064408,13.43691196,6.97981348,29.50561475,0.000172663,0.001726633,36.48732752,47.10549779,4.163816637,0.121154105,0.613227173,0.379794841,0.551005615,0.442980145,0.983916667,0.016083333,0.695941911,0.294622797,0.596059248,0.388173354,0.729768206,0.258840987,0.760103638,0.229920365,0.692124656,0.299536708,0.72095641,0.269112425,0,1,0.715934608,0.274410222,0.630213692,0.351557123,0.685615155,0.303789493,0.576504446,0.423495554,28.43,3.55375,4.392521168,1.19394041
HF1E 15m B,HF1,"42.482186, -72.174273",Encroachment,15,0.162525987,0,28.04083616,NA,774.3,3.68,17.6,1,5.2,0.646831819,0.665139232,0.004524887,0.981146305,0.0358,0.00015,0.032525,3,0,3,0,0,2,4,0,0,0.347,6,116.0510099,404.3880414,520.4390512,0,9,520.4390512,3.4633451,NA,0,NA,2.82134706,0.728904594,0.180541814,0.135312132,0.000989399,0.000282686,0.035429918,0.214935218,0.469399293,0.011118963,0,0,0.28179377,0.105871822,0.64,0.52,0.051162418,1.288690704,0.221215284,0.451265049,0.469751684,0.306596228,0.629735854,0.605196537,0.359019183,0.215904139,0.475759717,0.684334511,0.451919906,0.771024735,0.59811543,0.497386323,0.512746151,0.602953813,0.394181883,0.217794486,0.494450412,409,5.368573012,147,3.591306812,0.892721533,0.719638378,-1.206755628,2879959.313,19747197.55,0.521319199,61,0.429695182,0.051851852,0.173076923,1.740818024,40.50397491,35,2.183459688,4.65,0.34,0.03,1.16,0.48,0.01,13.03,1.5,0.2,6.27,3.78,0.69,3.33,0.19,4.21,0.390222096,0.053622402,0.470748299,0.119047619,0.666666667,0,0.298857299,0.072189072,0.051851852,0.196296296,0.407302922,0.08898464,0.191913642,0.062071262,0.055555556,0,0.289830042,0.140468383,0.403623929,0.065055518,0.432653061,0.108163265,0.325312815,0.170173525,0.368421053,0.105263158,0.344016346,0.158077988,15.10961683,2.471659766,0.002304042,1.148814077,0.437769086,15.21543587,8.769133452,4.912786258,21.56285386,0.000248137,0.002481369,26.47836962,34.54632799,2.883760139,0.102258927,0.526508585,0.431188341,0.503969454,0.454462925,0.894170695,0.105829305,0.614391964,0.344412496,0.393247149,0.530098127,0.598424293,0.349513525,0.649615195,0.301070554,0.580941748,0.377101918,0.628808275,0.328324031,0,1,0.620638554,0.336652085,0.495048856,0.438642001,0.563055674,0.394561912,0.361631719,0.603161165,26.77,3.34625,3.58285535,0.76493684
HF1E 30m A,HF1,"42.482186, -72.174273",Encroachment,30,0,0,NA,NA,NA,4.24,17.5,2,5,0.487484197,0.365811544,0,1.019893899,0.041825,0,0.03845,1,0,5,0,0,1,2,0,0,0.543,6,67.64085081,141.0439063,208.6847572,0,3,208.6847572,2.069378579,NA,0,NA,1.097460302,0.153331056,0.759275709,0.745063205,0.005603006,0,0.012504271,0.08165357,0.051520328,0.009156133,0,0,0.261680386,0.111777274,0.48,0.43,0.037012613,0.832723982,0.095002219,0.382195076,0.602246282,0.129518385,0.847036898,0.357993442,0.620472781,0.346031746,0.163648787,0.278442091,0.063409634,0.222275367,0.117936454,0.479537588,0.486079597,0.5462164,0.396015171,0.227198198,0.476688915,420,5.331483948,117,2.634538351,0.882658796,0.553221782,0.414424563,1908587.966,11388640.77,0.124701059,62,0.406212664,0.095238095,0.23255814,NA,NA,17,0.658172745,4.69,0.38,0.03,1.07,0.38,0.01,13.44,1.35,0.21,6.48,3.56,0.65,3.29,0.19,4.13,0.364911649,0.078372944,0.413172542,0.104761905,1,0,0.348937424,0.113671275,0.142857143,0.419047619,0.463342107,0.095529727,0.255724539,0.078024607,0.105263158,0,0.402759135,0.16407141,0.455412272,0.067322819,0.348076923,0.29017094,0.411956432,0.208715547,0.526315789,0.105263158,0.408984156,0.214135308,7.345891896,1.192107937,0.000807384,0.621758008,0.206956388,6.441213913,4.151382682,2.410167003,9.68775822,0.000244348,0.002443479,12.10061305,16.63447271,1.592566277,0.040048309,0.312732697,0.668777153,0.315487109,0.673244114,0.754672534,0.245327466,0.369721107,0.606186235,0.255582164,0.70830239,0.417956189,0.555762135,0.439765118,0.535045683,0.346850434,0.629975428,0.386908173,0.589464527,0,1,0.379530107,0.596929728,0.296569119,0.668092739,0.34578032,0.632328914,0.226930151,0.773069849,27.13,3.39125,2.350243461,1.001060561
HF1E 30m B,HF1,"42.482186, -72.174273",Encroachment,30,0.096090279,0,NA,NA,NA,3.71,17.5,2,5,0.587940362,0.673070765,0,1.019893899,0.041825,0,0.03845,1,0,4,0,0,2,3,0,0,0.509,5,67.64085081,141.0439063,208.6847572,0,3,208.6847572,2.069378579,NA,0,NA,1.097460302,0.21525479,0.709590191,0.682362814,0.003589911,0,0.043405287,0.066809641,0.101776307,0.004335866,0,0,0.284065471,0.109358635,0.74,0.62,0.01792937,0.738432702,0.11074206,0.2970593,0.662641562,0.28642745,0.68639904,0.51272267,0.47105927,0.211309524,0.214555457,0.296190965,0.148025549,0.263322299,0.194228169,0.504466761,0.50797856,0.569691742,0.404904196,0.248557287,0.472039102,349,5.182764264,126,2.771564267,0.885175167,0.573077484,-0.97263888,1579236.478,12351711.88,0.203226258,62,0.472,0.089285714,0.258064516,NA,NA,18,0.78276245,6.48,0.39,0.02,1.42,0.58,0.01,17.5,1.78,0.23,8.51,5.14,0.94,4.35,0.28,5.57,0.491300036,0.041084052,0.477040816,0.112244898,1,0,0.416472327,0.06719055,0.133928571,0.285714286,0.543852986,0.089677658,0.300690574,0.050978864,0.095238095,0,0.435847803,0.136789467,0.594049334,0.045519973,0.605625718,0.103616533,0.457815783,0.211740098,0.535714286,0.071428571,0.481713577,0.191282748,7.314444197,1.63457388,0.002558386,0.605851964,0.186154904,6.273212015,4.516695723,2.435873401,10.08375096,0.000128505,0.001285054,12.52103792,15.75978273,1.476428544,0.035423065,0.36219496,0.619575879,0.24744308,0.731564575,0.848205647,0.151794353,0.463675447,0.515980895,0.317924881,0.650208842,0.467289886,0.505741399,0.53281508,0.44096347,0.444089567,0.536341005,0.4745165,0.503776623,0,1,0.469087561,0.509585783,0.360557649,0.60505478,0.437535912,0.54192245,0.296809498,0.691865967,35.85,4.48125,2.516145203,0.704740121
HF1E 60m A,HF1,"42.482186, -72.174273",Encroachment,60,0.102132625,0,33.35513667,0.248002691,930.5,3.74,16,1.5,5.5,0.598282695,0.634988491,0.007312614,1.00670323,0.049075,3.00E-04,0.0413,2,0,0,0,0,2,4,0,0,0.2,2,27.80914321,109.5312276,137.3403708,0,3,137.3403708,3.83667181,NA,0,NA,3.088428107,0.554415893,0.240120924,0.187216584,0,0,0.044806737,0.083891168,0.424638307,0.002375297,0,0.000104147,0.227699571,0.106958741,0.64,0.48,0.048941387,1.377720567,0.152364813,0.368046736,0.626383542,0.242315805,0.744099841,0.392791112,0.598963599,0.153446227,0.479702008,0.626106672,0.416972576,0.666270784,0.548585619,0.481383764,0.480810956,0.558313517,0.394369131,0.224939682,0.472548645,360,5.281299548,103,3.451068433,0.897248761,0.744610622,-0.98666363,2699800.817,9609952.223,0.513064133,61,0.368421053,0.053030303,0.208333333,1.500771761,35.55614853,24,1.726440703,4.86,0.36,0.03,1.14,0.48,0.01,13.1,1.4,0.25,6.32,3.71,0.68,3.2,0.18,4.06,0.369739542,0.037838252,0.472402597,0.083333333,0.666666667,0,0.290821139,0.056835637,0.053030303,0.133838384,0.418773064,0.066219169,0.202326002,0.037961883,0.047619048,0,0.305772675,0.125670714,0.407741217,0.033491589,0.432632585,0.094457716,0.361141438,0.09903021,0.388888889,0.055555556,0.373981544,0.096818973,11.47189663,1.469131797,0.00105232,0.955820571,0.382677419,12.39486893,6.778745625,4.237826687,16.29190181,0.000272149,0.002721487,20.53272214,29.09299554,2.613977355,0.062645212,0.346940333,0.648192104,0.383842238,0.612536306,0.403472613,0.596527387,0.424975075,0.568186714,0.29393039,0.694356517,0.454892534,0.536581353,0.487296295,0.504590682,0.412487362,0.581642925,0.44640099,0.546284152,0,1,0.440255553,0.552690017,0.341040175,0.647379982,0.358761149,0.633500958,0.210138632,0.789861368,27.15,3.39375,2.613667481,0.579375721
HF1E 60m B,HF1,"42.482186, -72.174273",Encroachment,60,NA,NA,NA,NA,1020,3.9,16,1.5,5.5,0.548090433,0.50763143,0.007312614,1.00670323,0.049075,3.00E-04,0.0413,2,0,0,2,0,1,4,0,0,0.754,5,27.80914321,109.5312276,137.3403708,0,3,137.3403708,3.83667181,NA,0.980007592,NA,3.088428107,0.861205916,0.102730375,0.082195677,0.000284414,0,0.618430034,0.028384528,0.206825939,0.008703072,0,0,0.245344819,0.104554598,0.64,0.47,0.01796204,3.609879608,0.495418727,0.853865962,0.144470334,0.836226137,0.16125391,0.90210915,0.096655966,0.31948666,0.649772469,0.933617747,0.587315131,0.920819113,0.663822526,0.508536648,0.511399391,0.562155052,0.410868107,0.248052819,0.488858513,319,5.151469817,95,2.457151744,0.893547105,0.539573599,-0.418161118,1460688.615,6019197.151,0.636518771,61,0.216312057,0.078014184,0.212765957,1.350123405,31.0402565,23,1.697028056,5.35,0.38,0.03,1.2,0.5,0.01,14.82,1.55,0.18,7.5,4.27,0.78,3.87,0.23,4.88,0.315497226,0.080261448,0.328571429,0.108843537,1,0,0.313960715,0.112175765,0.117021277,0.407801418,0.409999785,0.118655581,0.237014126,0.092074504,0.09375,0,0.349785104,0.170274055,0.418510239,0.085619099,0.331881955,0.292372198,0.347121577,0.281924993,0.47826087,0.130434783,0.350285296,0.277475045,28.79234072,10.26787689,0.025476438,2.185481211,0.669183704,25.84234301,21.92880659,9.329073353,35.14219254,0.00013289,0.001328899,44.47272768,60.47444286,5.608293476,0.075011823,0.814194453,0.184411262,0.70883116,0.289429404,0.959695482,0.040304518,0.873993241,0.124422972,0.8611452,0.136519156,0.902278205,0.096115027,0.912926354,0.085656964,0.877164855,0.121578781,0.878333818,0.119999205,0,1,0.878088056,0.120322593,0.850760991,0.146442101,0.865170073,0.133145368,0.823079644,0.176761548,30.57,3.82125,5.865069212,1.012929369
HF1H 0m A,HF1,"42.464255, -72.169233",Hardwood,0,0,0,24.31902587,0.063475964,3241,4.81,19.9,1,0.5,0.243848965,0.086823454,0.007042254,1.016431925,0.01985,7.50E-05,0.010825,3,1,0,3,0,0,3,3,0,0.857,7,0,472.8039768,472.8039768,0,7,472.8039768,473.8039768,0,5.77828309,-0.027334656,4.763754674,0.788183807,0.04726477,0.034485777,0,0,0.200262582,0.054967177,0.527002188,0.005251641,0,0.00752572,0.322419563,0.072990633,0.32,0.44,0.01263073,1.381817441,0.206824397,0.704237394,0.256027518,0.814395883,0.134044771,0.869019334,0.098522346,0,0.651991247,0.81750547,0.618468271,0.756148796,0.651466083,0.482478352,0.587360331,0.656065731,0.36922069,0.231561985,0.563756131,482,5.542695759,91,2.21304396,0.897174797,0.49060361,2.707326164,1105565.957,794817.9722,0.62809628,62,0.111888112,0.396296296,0.363636364,NA,NA,25,1.249577766,4.31,0.38,0.08,0.99,0.27,0.01,13.89,1.21,0.21,5.95,3.47,0.48,3.22,0.19,3.89,0.649756979,0,0.666666667,0,1,0,0.493540496,0,0.592592593,0,0.665334556,0,0.401997056,0,0.736842105,0,0.645888306,0,0.719571325,0,0.616161616,0,0.753446003,0,0.736842105,0,0.734817435,0,10.999475,3.113395301,0.006830829,0.799542288,0.285397037,9.868726595,8.109433479,3.517841007,13.09981046,4.22E-05,0.000421519,16.61811514,23.8770467,2.073979407,0.028748341,0.757050332,0.200620637,0.67725468,0.280649312,0.993341536,0.006658464,0.820125795,0.140943167,0.735477763,0.206241184,0.836450222,0.124846712,0.851517219,0.112754826,0.824353772,0.139759631,0.824057421,0.135339939,0,1,0.824093307,0.136177757,0.7606076,0.178869346,0.814046751,0.142325228,0.826980834,0.162766238,26.32,3.29,5.291203786,0
HF1H 0m B,HF1,"42.464255, -72.169234",Hardwood,0,0,0,17.18985671,0.131503057,3344,4.73,19.9,1,0.5,0.240543881,NA,0.007042254,1.016431925,0.01985,7.50E-05,0.010825,3,2,0,0,0,0,4,2,0,0.279,6,0,472.8039768,472.8039768,0,7,472.8039768,473.8039768,0,4.11509371,0.00561317,4.763754674,0.517443061,0.239248607,0.184958371,0,0,0.320718365,0.041078924,0.138512351,0.017615083,0,0.005555429,0.34146453,0.07628998,0.25,0.36,0.084752985,3.130187429,0.295216497,0.462674203,0.513040006,0.80570923,0.163077352,0.820975035,0.162759444,0,0.421592238,0.615082915,0.469208009,0.549095163,0.433702608,0.499851398,0.57282641,0.663908004,0.374385588,0.234928328,0.537596306,418,5.390058956,135,3.406529474,0.893061973,0.694462518,NA,205165.0276,685700.3802,0.497970137,62,0.092575619,0.484848485,0.361111111,0.34256959,5.237578869,21,1.214374683,3.61,0.33,0.07,0.87,0.22,0.01,12.26,1.11,0.16,5.16,3.15,0.41,2.91,0.17,3.49,0.660219595,0,0.572222222,0,0.857142857,0,0.494929972,0,0.636363636,0,0.656267734,0,0.408312448,0,0.733333333,0,0.61974337,0,0.630623327,0,0.695402299,0,0.704306111,0,0.764705882,0,0.705709792,0,27.7999509,8.574392703,0.021327659,2.165691274,0.773480362,26.4226291,17.12977912,9.120102705,35.33084346,0.000210982,0.001635719,44.45279287,62.10808803,5.517121419,0.147113822,0.618995351,0.355600649,0.565127289,0.414148993,0.991829253,0.008170747,0.683761305,0.291637478,0.608754308,0.356914361,0.698118809,0.273585488,0.720979267,0.254518567,0.690483955,0.284557644,0.704817956,0.269628427,0,1,0.702341204,0.272207864,0.619053215,0.344080434,0.734543576,0.241789301,0.756842263,0.237569323,22.86,2.8575,4.25648448,0
