"This is the metadata for the study ""Microbial functional guilds and genes are key to explaining soil nutrient cycling alongside soil and plant variables"" by Corinne Vietorisz, Nahuel Policelli, Abigail Li, Lindsey Adams, and Jennifer Bhatnagar",,,
,,,
Variable,Description,Units,Date measured
all_ECM_Ndecomp_ECfun,Sum of all ectomycorrhizal N-decomposition gene group relative abundances,unitless,July_2021
all_Ndecomp_ECbac_avg,Average of all bacterial N-decomposition gene group relative abundances,unitless,July_2021
all_Ndecomp_ECbac_sum,Sum of all bacterial N-decomposition gene group relative abundances,unitless,July_2021
all_oligo_Ndecomp_EC,Sum of all oligotrophic bacterial N-decomposition gene group relative abundances,unitless,July_2021
All_plants,"Cumulative sum of all understory plant scores (specifically Broad_leaf_herbs, Grassy_herbs, Ferns, Shrubs, White_pine_seedlings, Oak_seedlings, Other_tree_seedlings) using the Braun-Blanquet method",unitless,June_2022
AM_abundance,Relative abundance of arbuscular mycorrhizal fungi in high-throughput amplicon sequence data,unitless,July_2021
AM_basal,Basal area of all arbuscular mycorrhizal trees >5cm diameter at breast height in a 10m x 10m square plot centered between the A and B sampling points,centimeters cubed,June_2022
amidine.hydro_ECbac_abund,Relative abundance of amidine hydrolase gene copies in the bacterial community estimated from amplicon sequence data,unitless,July_2021
amidine.hydro_ECfun_abund,Relative abundance of amidine hydrolase gene copies in the fungal community estimated from amplicon sequence data,unitless,July_2021
amine.oxidase_ECbac_abund,Relative abundance of amidine hydrolase gene copies in the bacterial community estimated from amplicon sequence data,unitless,July_2021
amine.oxidase_ECfun_abund,Relative abundance of amidine hydrolase gene copies in the fungal community estimated from amplicon sequence data,unitless,July_2021
amino.hydro_ECbac_abund,Relative abundance of amino hydrolase gene copies in the bacterial community estimated from amplicon sequence data,unitless,July_2021
amino.hydro_ECfun_abund,Relative abundance of amino hydrolase gene copies in the fungal community estimated from amplicon sequence data,unitless,July_2021
Ammonification,Net soil ammonification rate ,micrograms NH4-N per gram dry soil per day,July - August 2021
bac_amm_neg_module_abundance,Cumulative relative abundance of bacterial taxa in low ammonification indicator co-occurrence module as identified by Weighted Gene Network Correlation Analysis,unitless,July_2021
bac_amm_pos_module_abundance,Cumulative relative abundance of bacterial taxa in high ammonification indicator co-occurrence module as identified by Weighted Gene Network Correlation Analysis,unitless,July_2021
bac_copy_number,Copy numbers of the v4 16S DNA region per 1ul DNA extract as measured by quantitative PCR,gene copies per microliter DNA extract,July_2021
bac_evenness,Bacterial evenness in high-throughput amplicon sequence data,unitless,July_2021
bac_nitr_neg_module_abundance,Cumulative relative abundance of bacterial taxa in low nitrification indicator co-occurrence module as identified by Weighted Gene Network Correlation Analysis,unitless,July_2021
bac_nitr_pos_module_abundance,Cumulative relative abundance of bacterial taxa in high nitrification indicator co-occurrence module as identified by Weighted Gene Network Correlation Analysis,unitless,July_2021
bac_pmin_neg_module_abundance,Cumulative relative abundance of bacterial taxa in low phosphate change indicator co-occurrence module as identified by Weighted Gene Network Correlation Analysis,unitless,July_2021
bac_pmin_pos_module_abundance,Cumulative relative abundance of bacterial taxa in high phosphate change indicator co-occurrence module as identified by Weighted Gene Network Correlation Analysis,unitless,July_2021
bac_richness,Bacterial richness in high-throughput amplicon sequence data,unitless,July_2021
bac_shannon,Bacterial shannon diversity in high-throughput amplicon sequence data,unitless,July_2021
Bare_soil,"Understory cover of exposed soil, measured in a 1m x 1m square around the sampling point using the Braun-Blanquet method on a scale of 0-5: groups with 75-100% coverage were scored a 5, 50-75% = 4, 25-50% = 3, 5-25% = 2, >0 - 5% = 1, 0% = 0. ",unitless,June_2022
