,Transect,P,pH,litter_depth,O_depth,SOM,prop_pine_litter,prop_hw_litter,total_floor_litter,pine_floor_litter,hw_floor_litter,Broad_leaf_herbs,Grassy_herbs,Ferns,Shrubs,Max_height,All_plants,AM_basal,ECM_basal,hw_basal,pine_basal,num_stems,total_basal,ECM.AM,no_pine_saplings,PO4_release,root_density,ECM_abundance,SAP_abundance,AM_abundance,root_endophyte_abundance,contact_expl,short_dist_expl,med_dist_expl,long_dist_expl,Copiotroph_abundance,Oligotroph_abundance,Pdecomp_ECbac_abund,PO4uptake_ECfun_abund,Pdecomp_ECfun_abund,ECM_PO4uptake_ECfun,SAP_PO4uptake_ECfun,ECM_Pdecomp_ECfun,SAP_Pdecomp_ECfun,Oligotroph_Pdecomp_ECbac,peptidase_phosphatase_top_fun_abundance,NPdecomp_top_bac_abundance,fun_pmin_pos_module_abundance,fun_pmin_neg_module_abundance,bac_pmin_pos_module_abundance,bac_pmin_neg_module_abundance,bac_richness,bac_shannon,fun_richness,fun_shannon,bac_evenness,fun_evenness,edaphic_PC1,bac_copy_number,ITS_copy_number,soil_temp2022,soil_moisture2022,Copiotroph_Pdecomp_ECbac,soil_percN,soil_percC,EMF_richness,EMF_Shannon,DMhydrolase_ECbac_abund,CPhydrolase_ECbac_abund,Poxidoreductase_ECbac_abund,phosphatase_ECbac_abund,Phydrolase_ECbac_abund,Copiotroph_DMhydrolase_ECbac,Oligotroph_DMhydrolase_ECbac,Copiotroph_Poxidoreductase_ECbac,Oligotroph_Poxidoreductase_ECbac,Copiotroph_phosphatase_ECbac,Oligotroph_phosphatase_ECbac,Copiotroph_Phydrolase_ECbac,Oligotroph_Phydrolase_ECbac,DMhydrolase_ECfun_abund,phosphatase_ECfun_abund,Phydrolase_ECfun_abund,Poxidoreductase_ECfun_abund,ECM_DMhydrolase_ECfun,SAP_DMhydrolase_ECfun,ECM_phosphatase_ECfun,SAP_phosphatase_ECfun,ECM_Phydrolase_ECfun,SAP_Phydrolase_ECfun,ECM_Poxidoreductase_ECfun,SAP_Poxidoreductase_ECfun,Litterfall_wt,Litterfall_wt_only_leaves,Al_litterfall,B_litterfall,Ca_litterfall,Cu_litterfall,Fe_litterfall,K_litterfall,Mg_litterfall,Mn_litterfall,Mo_litterfall,Na_litterfall,P_litterfall,S_litterfall,Zn_litterfall,N_litterfall,C_litterfall,lit_perc_P,lit.CN,lit.CP,lit.NP,ECM_nitrifiers_cor,ECM_copios_cor,SAP_nitrifiers_cor,SAP_copios_cor,ECM_oligo_cor,SAP_oligo_cor
1,HF1E,762.6833333,4.103333333,1.2,4.425,0.459035689,0.003431965,1.014223193,0.036025,0.00011875,0.0315375,1.75,0.375,2.75,0.5,0.5325,5.75,70.50033464,218.3210584,288.8213931,0,5,288.8213931,3.12313183,21,-0.006974532,2.105084252,0.489607433,0.39028668,0.001519098,0.000887104,0.135995533,0.126719228,0.223580084,0.005235386,0.274207433,0.095864833,0.4725,0.040870189,8.752761455,0.340413112,0.62604418,0.558691165,0.420307522,0.251598619,0.134516754,0.185508041,0.573842081,0.39661137,0.230671996,0.478343443,388.375,5.29884521,131.2857143,3.21483145,0.890637932,0.661301603,-0.085809763,1752575.796,8681247.731,61.5,0.316538102,0.272972203,1.09192158,24.98408616,22.57142857,1.353746952,0.04,0.0075,1.3725,3.66375,4.15,0.916666667,0,0.272336155,0.052269175,0.50240583,0.048913795,0.454188098,0.14859717,0.006250452,10.68987237,28.31398337,3.227914329,0.697507974,0.302492026,0.623987611,0.35376457,0.575490843,0.404680492,0.528909475,0.450815027,99.25,82.37,42.33,20.85,9488,4.92,39.57,1994,2081,2796,0.7852,32.4,755.2,668.4,31.27,0.93,48.28,0.0007552,51.91397849,63930.08475,1231.461864,-0.178174161,-0.428571429,0.04454354,0.5,-0.5,0.571428571
2,HF1H,2089,4.845,3.1,8.1,0.289904769,0.002970951,1.004397303,0.043575,5.00E-05,0.035125,2,0.9,0.4,0.3,0.2912,3.9,222.6455105,161.6835968,384.3291073,0,7.6,384.3291073,95.08088828,0.4,-0.004192266,2.891273734,0.499389148,0.307647905,0.005510333,0.000119001,0.160571723,0.051812927,0.286598179,0.007658915,0.326389982,0.078512008,0.51,0.032100111,8.067826873,0.47901358,0.404273067,0.649491003,0.305566761,0.059149799,0.258281645,0.166756043,0.547983188,0.503075298,0.241529622,0.541003658,402.8,5.284137358,143.2,3.254016195,0.882970422,0.655136974,0.790355255,5941956.982,2591213.528,61.2,0.249045293,0.571132217,0.829665411,14.77614088,22.5,1.094963356,0.072,0.008,1.421,3.912,4.48,0.960714286,0,0.338334174,0.027826581,0.606703968,0.02249297,0.581066021,0.072970916,0.009963411,11.32898074,27.36706785,4.065826397,0.771047359,0.228952641,0.678689168,0.276094542,0.656900288,0.298960941,0.652954233,0.29856328,114.38,101.1,645.5,27.74,11650,6.71,37.82,3008,1705,1231,0,74.08,1131,695.2,75.29,0.91,47.86,0.001131,52.59340659,42316.53404,804.5977011,0.054545455,-0.357575758,-0.224242424,0.187878788,0.127272727,0.03030303
3,HF1M,2669.333333,4.7575,2.75,2.5,0.319983157,0.644948465,0.36043249,0.034525,0.0165375,0.00923125,3,0,0.5,2.375,0.7025,6.125,97.7573428,517.6725404,225.0259909,382.4461452,4.5,615.4298832,178.3101642,1,0.034298287,1.153304521,0.507396695,0.258594456,0.000565468,0.000324544,0.095095623,0.164065563,0.223961707,0.010928379,0.337238951,0.081294812,0.3375,0.053111036,8.474943699,0.559525669,0.36434712,0.636878316,0.260798124,0.085099347,0.229415906,0.118654617,0.333183075,0.335527685,0.252406506,0.544495501,475,5.563280127,148.75,3.330760422,0.906093608,0.667250489,1.027040566,1700791.572,1741166.918,60.75,0.366565701,0.646732559,0.681276292,12.71945508,20.5,1.175182705,0.06125,0,0.93625,2.9575,3.36125,1,0,0.477524991,0.0326853,0.711572081,0.030609786,0.646027751,0.079465965,0.005836256,11.02401487,28.48197756,4.343263805,0.921978575,0.078021425,0.660808676,0.241032875,0.644800215,0.253248158,0.648007369,0.25383841,85.3,73.87,2061,30.62,9612,7.97,74.05,4640,2319,1462,0.6241,117.4,1566,873.2,65.61,1.19,47.88,0.001566,40.23529412,30574.71264,759.8978289,-0.238095238,-0.023809524,-0.142857143,-0.214285714,0.476190476,0.071428571
4,HF1P,1027.566667,4.3025,3.125,6.25,0.298817406,0.57712137,0.459079408,0.06406875,0.02401875,0.01776875,2.875,1,0.125,0.125,0.536875,5.375,42.76254588,546.2130006,215.7683458,373.2072007,6.25,588.9755465,87.38005472,2.5,-0.028299004,2.550623998,0.512275905,0.226288836,0.00265554,7.10E-05,0.253657247,0.037750875,0.150445735,0.047381284,0.302056442,0.105448191,0.4325,0.070281436,8.006901294,0.499762845,0.346478348,0.553522089,0.330160157,0.186181872,0.182103991,0.162221481,0.477398763,0.394486184,0.248572543,0.531351654,453.5,5.44624005,136.5714286,3.169636688,0.892102096,0.646462932,0.956386265,2121587.799,3011327.585,61,0.219101639,0.470077535,0.944232561,18.64857936,19.71428571,1.245914895,0.06375,0.005,1.1225,3.23375,3.7875,0.971875,0,0.337700609,0.057879461,0.58105637,0.053447054,0.529495089,0.121410801,0.010576067,11.15028128,26.56084885,3.636010757,0.871453885,0.128546115,0.584235705,0.304010618,0.559495072,0.324604198,0.573425128,0.311679144,128.82,83.14,78.36,20.4,11100,7.05,43.08,3600,1801,577.5,0,58.7,1157,805.9,87.14,1.02,49.96,0.001157,48.98039216,43180.63959,881.5903198,-0.018018749,0.071428571,-0.882918713,-0.642857143,0.142857143,0.214285714
5,HF2E,860.2,3.63125,1.375,4.875,0.57255566,0.008208711,0.994361908,0.02585,0.00018125,0.02211875,2,0.375,0.875,0,0.33625,3.875,21.28955991,178.7544765,195.5308001,4.513236298,10.25,200.0440364,48.00337562,17,0.024675498,4.083912009,0.604857461,0.319212391,0.000995376,0,0.257310321,0.039146508,0.304693267,0.00391857,0.257423106,0.113319679,0.5325,0.073504446,8.898655631,0.677764747,0.291187877,0.741084467,0.242900082,0.333449406,0.252895183,0.189953187,0.589447257,0.542994357,0.232493115,0.463152383,389.25,5.28746551,103,2.754498043,0.889694671,0.598377309,-0.580304053,1263432.299,5533308.318,64.75,0.348681032,0.218809876,1.141148478,30.12240553,22.25,1.356263528,0.04375,0.0075,1.5175,3.8975,4.54375,0.71875,0,0.22835738,0.100629309,0.456040409,0.098573502,0.418976088,0.217030316,0.014640624,12.22864139,29.91484267,4.202490654,0.833010327,0.144770176,0.779965805,0.203814577,0.751187662,0.233512584,0.708223634,0.277063485,92.4,89.64,49.76,24.4,6811,5.45,44.54,2562,1510,4230,0.3421,41.29,1063,644.7,52.46,0.88,51.17,0.001063,58.14772727,48137.34713,827.8457197,0.08247861,0.071428571,-0.412393049,-0.357142857,0.023809524,0.452380952
6,HF2H,962.7666667,4.525,1.075,8.25,0.573701011,0,0.98215337,0.02589375,0,0.0212625,1.25,0,3.5,0,0.46475,5.25,121.4445719,228.2055088,294.2430725,10.61583365,5,349.6500808,80.19948403,1.5,-0.032868866,6.488855437,0.49559047,0.321464558,0.003080923,0.001997428,0.36476456,0.025513915,0.125307871,0.000692908,0.340633135,0.087877015,0.47,0.026746975,7.289547673,0.628838911,0.293308041,0.609522054,0.329356419,0.1441355,0.270330648,0.15900956,0.467500894,0.291125337,0.251076957,0.523343238,471.375,5.493286236,127.25,2.561928003,0.894012949,0.529270795,-0.541111668,1172488.696,4882811.937,63.25,0.558067948,0.585933933,1.557765802,31.42663781,14.875,0.721379711,0.07625,0.01125,1.11625,3.255,3.95375,0.963636364,0,0.41211014,0.058960227,0.672608196,0.046515163,0.619366812,0.105608493,0.008951844,12.4845278,25.3964014,3.201270006,0.636579623,0.363420378,0.630799195,0.311657005,0.613974451,0.326795065,0.599417578,0.334118588,139.82,89.51,45.62,26.32,11910,5.44,53.5,2766,2074,1135,0,64.18,622,608.6,78.4,0.9,49.82,0.000622,55.35555556,80096.46302,1446.945338,-0.714285714,-0.19047619,0.333333333,-0.047619048,0.476190476,-0.571428571
7,HF2M,1144.466667,4.0225,1.25,4,0.465585006,0.027165424,0.98479128,0.02823125,0.0007375,0.024425,1.375,0,0.5,1.375,0.3635,5,27.86405166,150.5534142,175.7864357,2.631030153,7.5,178.4174659,5.435122785,17.25,0.013328187,3.90059729,0.784545776,0.138194029,8.91E-05,0,0.459080688,0.004114866,0.253825597,0.005180375,0.287448562,0.113698438,0.557142857,0.023768912,10.36109217,0.721624505,0.247899686,0.751176867,0.224700489,0.333735512,0.454786002,0.187992212,0.77177653,0.593575191,0.239361121,0.488775346,419.1428571,5.356491713,93.5,2.51551488,0.889676832,0.555218153,0.097034367,1115605.937,3002919.738,63.25,0.325189822,0.320444037,1.075835726,25.64215648,23.33333333,1.487306656,0.054285714,0.017142857,1.43,3.721428571,4.55,0.866883117,0,0.29505034,0.1052896,0.55070688,0.085347425,0.470702522,0.197742111,0.020848765,16.85258716,35.48290531,4.5037713,0.981786296,0.018213704,0.789668649,0.185238839,0.753172828,0.22281893,0.728827375,0.248581228,105.13,73.3,46.5,22.57,7150,9.14,60.05,1891,2248,1992,0.4053,28.61,835.5,671.5,42.8,0.81,49.5,0.0008355,61.11111111,59245.9605,969.4793537,-0.392792202,-0.714285714,0.654653671,0.771428571,0.771428571,-0.771428571
8,HF2P,891.3333333,3.997777778,2.277777778,5.111111111,0.509543432,0.720293648,0.293840148,0.049585,0.033165,0.006845,2.5,0,1,0.2,0.2864,4.6,75.83223744,515.511455,239.0593189,340.3302458,9,591.3436925,15.12169532,1.2,0.036141955,3.05346477,0.723539687,0.183639582,0,9.09E-05,0.581691995,0.002715041,0.106590215,0.033551889,0.294648886,0.111536407,0.5,0.027941137,15.17540094,0.705904289,0.250510736,0.731365057,0.237802559,0.359753965,0.634535832,0.168326917,0.725194479,0.716585469,0.234618055,0.483512589,421.6666667,5.463711473,120.8888889,2.536363955,0.907338595,0.53030656,-0.181667034,1335379.83,3071728.979,62.4,0.271352638,0.280746886,1.278988457,27.62294598,13.77777778,1.16015622,0.045555556,0.014444444,1.342222222,3.634444444,4.321111111,0.919444444,0.007407407,0.291492012,0.118603754,0.548176679,0.105014193,0.470184282,0.237158125,0.026755736,19.36789009,48.11805538,5.542051474,0.902663959,0.097336041,0.864565562,0.115636145,0.856661041,0.123923399,0.738644875,0.232805867,70,70,159.3,16.33,4929,3.86,66.06,2051,882,391.3,0,21.53,720.3,620.4,47.91,0.95,50.25,0.0007203,52.89473684,69762.59892,1318.894905,-0.70747497,-0.883333333,0.479257238,0.733333333,0.466666667,-0.2
9,HF3E,848.8833333,4.339,3.3,5,0.440529582,0.002087548,0.999497453,0.079665,9.00E-05,0.066875,2.2,0.1,1.3,0,0.3109,4.2,92.61385294,214.6989041,306.0520908,0,7.8,307.3127571,4.529477424,13.4,-0.001644941,3.602194921,0.651531548,0.225118834,0.000930767,0.00014942,0.329036934,0.072228536,0.252164131,0.000558884,0.311212003,0.100801463,0.49875,0.098712266,11.6084121,0.66222776,0.300055345,0.714373277,0.259883461,0.196116581,0.315481504,0.204212741,0.601314435,0.523220073,0.239624463,0.523756837,439.5,5.35812805,129.7777778,3.021325042,0.881592454,0.623629267,NA,6243610.135,3327594.526,62.4,0.325118043,0.445083228,1.286501234,27.01570988,21.77777778,1.36836357,0.06375,0.0175,1.4475,3.78875,4.47125,0.952272727,0,0.332663181,0.061517199,0.613919587,0.052231205,0.552465351,0.120292355,0.017862205,15.93610103,38.90427311,5.424322285,0.915265498,0.084734502,0.75283971,0.221793817,0.720302934,0.254519829,0.690385822,0.284651366,114.47,92.07,30.74,35.3,10830,6.06,38.8,2475,2521,1725,0.5087,49.08,565.6,513.1,173.7,0.95,48.97,0.0005656,51.54736842,86580.62235,1679.632249,-0.292770022,-0.071428571,0.219577516,0.19047619,0.095238095,-0.119047619
10,HF3H,866.4166667,5.119,3.4,3.1,0.164106035,0.000796311,0.993207612,0.052585,3.50E-05,0.04511,2.3,1.7,0.6,0.2,0.6914,5.7,301.1822678,9.725321952,310.9075898,0,2.4,310.9075898,9.927832677,1,-0.022771653,4.715194484,0.00604675,0.612473524,0.009723216,0.000204509,0.001125515,0.000320609,0.015583422,0.002669624,0.362241383,0.060215835,0.40125,0.039715226,2.974971547,0.01370795,0.658041324,0.009650171,0.638122762,0.003289474,0.001125515,0.093786523,0.207678457,0.102485499,0.228307043,0.57232555,538.875,5.593925096,181.2857143,3.50776204,0.892641,0.675392105,1.877807608,14008714.92,246110.4601,62.6,0.279858291,0.78264244,0.77675044,13.36313423,3.428571429,0.032968558,0.08,0.0025,0.9375,3.17625,3.65375,0.954365079,0,0.508683017,0.00210084,0.684172908,0.010440411,0.649526894,0.016537628,0.000738753,4.002027849,9.41694884,1.487835018,0.099789506,0.900210494,0.01145266,0.61645018,0.010013352,0.632791728,0.009799786,0.630033387,106.06,103.55,155,26.31,12660,6.49,46.67,2844,1413,404.7,0,41.82,814.4,852.2,16.41,0.97,47.73,0.0008144,49.20618557,58607.56385,1191.060904,-0.5,-0.892857143,-0.392857143,0.285714286,-0.714285714,0.5
