,Transect,Nitrification,pH,soil_temp,litter_depth,O_depth,soil_moisture,SOM,prop_pine_litter,prop_hw_litter,total_floor_litter,pine_floor_litter,hw_floor_litter,Broad_leaf_herbs,Grassy_herbs,Ferns,Shrubs,Max_height,All_plants,AM_basal,ECM_basal,hw_basal,pine_basal,num_stems,total_basal,ECM.AM,no_pine_saplings,root_density,ECM_abundance,SAP_abundance,AM_abundance,root_endophyte_abundance,contact_expl,short_dist_expl,med_dist_expl,long_dist_expl,Nitrifier_abundance,Copiotroph_abundance,Oligotroph_abundance,denitrification_ECbac_abund,denitrification_ECfun_abund,NH4uptake_ECfun_abund,ECM_denitrification_ECfun,SAP_denitrification_ECfun,ECM_NH4uptake_ECfun,SAP_NH4uptake_ECfun,fun_nitr_pos_module_abundance,fun_nitr_neg_module_abundance,bac_nitr_pos_module_abundance,bac_nitr_neg_module_abundance,Nitrosomonodaceae_abundance,bac_richness,bac_shannon,fun_richness,fun_shannon,bac_evenness,fun_evenness,edaphic_PC1,bac_copy_number,ITS_copy_number,Nitrifiers_denitrification_ECbac,Copios_denitrification_ECbac,soil_percN,soil_percC,EMF_richness,EMF_Shannon,Litterfall_wt,Litterfall_wt_only_leaves,Al_litterfall,B_litterfall,Ca_litterfall,Cu_litterfall,Fe_litterfall,K_litterfall,Mg_litterfall,Mn_litterfall,Mo_litterfall,Na_litterfall,P_litterfall,S_litterfall,Zn_litterfall,N_litterfall,C_litterfall,lit_perc_P,lit.CN,lit.CP,lit.NP,ECM_nitrifiers_cor,ECM_copios_cor,SAP_nitrifiers_cor,SAP_copios_cor,ECM_oligo_cor,SAP_oligo_cor
1,HF1E,0.202166449,4.103333333,17.35,1.2,4.425,0.519447709,0.459035689,0.003431965,1.014223193,0.036025,0.00011875,0.0315375,1.75,0.375,2.75,0.5,0.5325,5.75,70.50033464,218.3210584,288.8213931,0,5,288.8213931,3.12313183,21,2.105084252,0.489607433,0.39028668,0.001519098,0.000887104,0.135995533,0.126719228,0.223580084,0.005235386,0.001889603,0.274207433,0.095864833,0.44125,1.67496347,0.271574596,0.458584096,0.495831388,0.572232491,0.410015741,0.542154016,0.296153006,0.572165576,0.384266438,0.001796223,388.375,5.29884521,131.2857143,3.21483145,0.890637932,0.661301603,-0.085809763,1752575.796,8681247.731,0,0.232235302,1.09192158,24.98408616,22.57142857,1.353746952,99.25,82.37,42.33,20.85,9488,4.92,39.57,1994,2081,2796,0.7852,32.4,755.2,668.4,31.27,0.93,48.28,0.0007552,51.91397849,63930.08475,1231.461864,-0.178174161,-0.428571429,0.04454354,0.5,-0.5,0.571428571
2,HF1H,2.342668553,4.845,17.86,3.1,8.1,0.435804776,0.289904769,0.002970951,1.004397303,0.043575,5.00E-05,0.035125,2,0.9,0.4,0.3,0.2912,3.9,222.6455105,161.6835968,384.3291073,0,7.6,384.3291073,95.08088828,0.4,2.891273734,0.499389148,0.307647905,0.005510333,0.000119001,0.160571723,0.051812927,0.286598179,0.007658915,0.003749476,0.326389982,0.078512008,0.431,1.93508513,0.22232091,0.554840183,0.367204109,0.707245626,0.252590819,0.80023206,0.345941922,0.648040803,0.382490775,0.003679533,402.8,5.284137358,143.2,3.254016195,0.882970422,0.655136974,0.790355255,5941956.982,2591213.528,0,0.362068377,0.829665411,14.77614088,22.5,1.094963356,114.38,101.1,645.5,27.74,11650,6.71,37.82,3008,1705,1231,0,74.08,1131,695.2,75.29,0.91,47.86,0.001131,52.59340659,42316.53404,804.5977011,0.054545455,-0.357575758,-0.224242424,0.187878788,0.127272727,0.03030303
3,HF1M,2.98016885,4.7575,19.025,2.75,2.5,0.501373013,0.319983157,0.644948465,0.36043249,0.034525,0.0165375,0.00923125,3,0,0.5,2.375,0.7025,6.125,97.7573428,517.6725404,225.0259909,382.4461452,4.5,615.4298832,178.3101642,1,1.153304521,0.507396695,0.258594456,0.000565468,0.000324544,0.095095623,0.164065563,0.223961707,0.010928379,0.008209264,0.337238951,0.081294812,0.2775,1.924319299,0.19575941,0.581659718,0.316559556,0.705533356,0.219700897,0.670292879,0.177744204,0.639725788,0.376152807,0.007999606,475,5.563280127,148.75,3.330760422,0.906093608,0.667250489,1.027040566,1700791.572,1741166.918,0,0.420971067,0.681276292,12.71945508,20.5,1.175182705,85.3,73.87,2061,30.62,9612,7.97,74.05,4640,2319,1462,0.6241,117.4,1566,873.2,65.61,1.19,47.88,0.001566,40.23529412,30574.71264,759.8978289,-0.238095238,-0.023809524,-0.142857143,-0.214285714,0.476190476,0.071428571
4,HF1P,0.725667391,4.3025,20.375,3.125,6.25,0.386956743,0.298817406,0.57712137,0.459079408,0.06406875,0.02401875,0.01776875,2.875,1,0.125,0.125,0.536875,5.375,42.76254588,546.2130006,215.7683458,373.2072007,6.25,588.9755465,87.38005472,2.5,2.550623998,0.512275905,0.226288836,0.00265554,7.10E-05,0.253657247,0.037750875,0.150445735,0.047381284,0.002371732,0.302056442,0.105448191,0.345,2.398389873,0.224512284,0.491437859,0.348308003,0.633895224,0.268233225,0.755302708,0.275217347,0.624170203,0.399523337,0.002217123,453.5,5.44624005,136.5714286,3.169636688,0.892102096,0.646462932,0.956386265,2121587.799,3011327.585,0,0.339986334,0.944232561,18.64857936,19.71428571,1.245914895,128.82,83.14,78.36,20.4,11100,7.05,43.08,3600,1801,577.5,0,58.7,1157,805.9,87.14,1.02,49.96,0.001157,48.98039216,43180.63959,881.5903198,-0.018018749,0.071428571,-0.882918713,-0.642857143,0.142857143,0.214285714
5,HF2E,0.050209909,3.63125,18.525,1.375,4.875,0.5379908,0.57255566,0.008208711,0.994361908,0.02585,0.00018125,0.02211875,2,0.375,0.875,0,0.33625,3.875,21.28955991,178.7544765,195.5308001,4.513236298,10.25,200.0440364,48.00337562,17,4.083912009,0.604857461,0.319212391,0.000995376,0,0.257310321,0.039146508,0.304693267,0.00391857,0.000124612,0.257423106,0.113319679,0.44375,2.115590783,0.222076203,0.701908223,0.271928221,0.775613282,0.212205405,0.680417195,0.456140496,0.562619838,0.371117494,0.000121375,389.25,5.28746551,103,2.754498043,0.889694671,0.598377309,-0.580304053,1263432.299,5533308.318,0,0.252247554,1.141148478,30.12240553,22.25,1.356263528,92.4,89.64,49.76,24.4,6811,5.45,44.54,2562,1510,4230,0.3421,41.29,1063,644.7,52.46,0.88,51.17,0.001063,58.14772727,48137.34713,827.8457197,0.08247861,0.071428571,-0.412393049,-0.357142857,0.023809524,0.452380952
6,HF2H,0.494220911,4.525,18.5,1.075,8.25,0.611206738,0.573701011,0,0.98215337,0.02589375,0,0.0212625,1.25,0,3.5,0,0.46475,5.25,121.4445719,228.2055088,294.2430725,10.61583365,5,349.6500808,80.19948403,1.5,6.488855437,0.49559047,0.321464558,0.003080923,0.001997428,0.36476456,0.025513915,0.125307871,0.000692908,0.006927122,0.340633135,0.087877015,0.3475,2.115712477,0.292397045,0.576914926,0.336170338,0.63845149,0.308304049,0.562271401,0.226338105,0.640472887,0.386396643,0.006826085,471.375,5.493286236,127.25,2.561928003,0.894012949,0.529270795,-0.541111668,1172488.696,4882811.937,0.006944445,0.412987226,1.557765802,31.42663781,14.875,0.721379711,139.82,89.51,45.62,26.32,11910,5.44,53.5,2766,2074,1135,0,64.18,622,608.6,78.4,0.9,49.82,0.000622,55.35555556,80096.46302,1446.945338,-0.714285714,-0.19047619,0.333333333,-0.047619048,0.476190476,-0.571428571
7,HF2M,0.077761224,4.0225,17.875,1.25,4,0.499815024,0.465585006,0.027165424,0.98479128,0.02823125,0.0007375,0.024425,1.375,0,0.5,1.375,0.3635,5,27.86405166,150.5534142,175.7864357,2.631030153,7.5,178.4174659,5.435122785,17.25,3.90059729,0.784545776,0.138194029,8.91E-05,0,0.459080688,0.004114866,0.253825597,0.005180375,0.0016006,0.287448562,0.113698438,0.387142857,2.904872187,0.357146745,0.743766324,0.215439616,0.791660598,0.190943339,0.830564292,0.567352771,0.608068742,0.384308911,0.0016006,419.1428571,5.356491713,93.5,2.51551488,0.889676832,0.555218153,0.097034367,1115605.937,3002919.738,0,0.315690239,1.075835726,25.64215648,23.33333333,1.487306656,105.13,73.3,46.5,22.57,7150,9.14,60.05,1891,2248,1992,0.4053,28.61,835.5,671.5,42.8,0.81,49.5,0.0008355,61.11111111,59245.9605,969.4793537,-0.392792202,-0.714285714,0.654653671,0.771428571,0.771428571,-0.771428571
8,HF2P,0.569911582,3.997777778,17.96666667,2.277777778,5.111111111,0.522342481,0.509543432,0.720293648,0.293840148,0.049585,0.033165,0.006845,2.5,0,1,0.2,0.2864,4.6,75.83223744,515.511455,239.0593189,340.3302458,9,591.3436925,15.12169532,1.2,3.05346477,0.723539687,0.183639582,0,9.09E-05,0.581691995,0.002715041,0.106590215,0.033551889,0.001152006,0.294648886,0.111536407,0.412222222,3.253095375,0.305229935,0.67667538,0.280046404,0.809389946,0.167717399,0.834895932,0.587970058,0.606883745,0.378806749,0.000853361,421.6666667,5.463711473,120.8888889,2.536363955,0.907338595,0.53030656,-0.181667034,1335379.83,3071728.979,0,0.271526407,1.278988457,27.62294598,13.77777778,1.16015622,70,70,159.3,16.33,4929,3.86,66.06,2051,882,391.3,0,21.53,720.3,620.4,47.91,0.95,50.25,0.0007203,52.89473684,69762.59892,1318.894905,-0.70747497,-0.883333333,0.479257238,0.733333333,0.466666667,-0.2
9,HF3E,1.398696072,4.339,NA,3.3,5,0.550484245,0.440529582,0.002087548,0.999497453,0.079665,9.00E-05,0.066875,2.2,0.1,1.3,0,0.3109,4.2,92.61385294,214.6989041,306.0520908,0,7.8,307.3127571,4.529477424,13.4,3.602194921,0.651531548,0.225118834,0.000930767,0.00014942,0.329036934,0.072228536,0.252164131,0.000558884,0.000604255,0.311212003,0.100801463,0.42,2.746280387,0.290999596,0.668862261,0.291097606,0.74431125,0.235378209,0.737489308,0.420610058,0.63585099,0.396804663,0.000604255,439.5,5.35812805,129.7777778,3.021325042,0.881592454,0.623629267,NA,6243610.135,3327594.526,0,0.365317233,1.286501234,27.01570988,21.77777778,1.36836357,114.47,92.07,30.74,35.3,10830,6.06,38.8,2475,2521,1725,0.5087,49.08,565.6,513.1,173.7,0.95,48.97,0.0005656,51.54736842,86580.62235,1679.632249,-0.292770022,-0.071428571,0.219577516,0.19047619,0.095238095,-0.119047619
10,HF3H,2.921146872,5.119,17.34,3.4,3.1,0.402597467,0.164106035,0.000796311,0.993207612,0.052585,3.50E-05,0.04511,2.3,1.7,0.6,0.2,0.6914,5.7,301.1822678,9.725321952,310.9075898,0,2.4,310.9075898,9.927832677,1,4.715194484,0.00604675,0.612473524,0.009723216,0.000204509,0.001125515,0.000320609,0.015583422,0.002669624,0.018977153,0.362241383,0.060215835,0.2425,0.975295398,0.112376924,0.006897719,0.571900982,0.014862788,0.610394053,0.637303565,0.057954685,0.689800633,0.340087628,0.016433728,538.875,5.593925096,181.2857143,3.50776204,0.892641,0.675392105,1.877807608,14008714.92,246110.4601,0.005,0.513472801,0.77675044,13.36313423,3.428571429,0.032968558,106.06,103.55,155,26.31,12660,6.49,46.67,2844,1413,404.7,0,41.82,814.4,852.2,16.41,0.97,47.73,0.0008144,49.20618557,58607.56385,1191.060904,-0.5,-0.892857143,-0.392857143,0.285714286,-0.714285714,0.5
